completion_variant,scenario,group,mean_score,best_frequency_hz,best_rank_count,top3_count,average_rank,score_5hz,score_10hz,score_15hz,score_20hz,score_40hz,score_80hz,rank_5hz,rank_10hz,rank_15hz,rank_20hz,rank_40hz,rank_80hz
c0x09,s00,other scenario,1.0018329815471885,80,1,3,3.5,1.1261401755472702,1.011324970582619,0.9680752642752728,0.988789859703777,0.9917996447653612,0.9248679744088307,6.0,5.0,2.0,3.0,4.0,1.0
c0x09,s01,completion scenario,1.0223874765848755,10,1,3,3.5,0.9676266682941682,0.7694846467138997,0.7938499581394958,1.0088026989990855,1.2205953344708618,1.3739655528917423,3.0,1.0,2.0,4.0,5.0,6.0
c0x09,s02,other scenario,1.0004512367085652,80,1,3,3.5,1.064513734109542,0.9818120223610038,0.9971536977706227,0.9930319588418857,0.9979081252334071,0.9682878819349297,6.0,2.0,4.0,3.0,5.0,1.0
c0x09,s03,completion scenario,1.0082399847312906,10,1,3,3.5,1.090437470350504,0.7709662390048079,1.0495050987376455,0.9297524537195065,1.0788446003069672,1.1299340462683118,5.0,1.0,3.0,2.0,4.0,6.0
c0x09,s04,other scenario,1.0184426731143799,80,1,3,3.5,1.4183484846477525,0.9451655043793383,0.8988164857573093,1.1470662209685474,0.8578609916736858,0.8433983512596462,6.0,4.0,3.0,5.0,2.0,1.0
c0x09,s05,other scenario,1.003173632314074,40,1,3,3.5,1.1739157205280162,1.0140308796775146,0.9909224654751946,0.9570615579043019,0.9144687745980777,0.968642395701339,6.0,5.0,4.0,2.0,1.0,3.0
c0x09,s06,other scenario,1.0061402494787182,80,1,3,3.5,1.2639628583131888,0.9758865749812645,0.9703705697265852,0.9336519954379003,0.9780579187236375,0.9149115796897336,6.0,4.0,3.0,2.0,5.0,1.0
c0x09,s07,other scenario,1.013932668755211,20,1,3,3.5,1.3624247368825995,1.0764800881734082,0.876088746561409,0.8415636101093855,1.0232908836125685,0.9037479471918949,6.0,5.0,2.0,1.0,4.0,3.0
c0x09,s08,other scenario,1.0036928314376268,20,1,3,3.5,1.1806895732690317,0.9802442163526385,0.9961005925202849,0.899126866122857,1.0224282392437416,0.9435675011172073,6.0,3.0,4.0,1.0,5.0,2.0
c0x09,s09,other scenario,1.0155316228149152,10,1,3,3.5,1.4210177210704842,0.8485840463281371,1.0469290117938839,0.9399725103862445,0.892774331763184,0.9439121155475568,6.0,1.0,5.0,3.0,2.0,4.0
c0x09,s10,other scenario,1.0039972466751397,20,1,3,3.5,1.1502905726209731,0.929058881944864,1.0688611258739882,0.8845198226308024,1.0347924700798408,0.9564606069003687,6.0,2.0,5.0,1.0,4.0,3.0
c0x09,s11,other scenario,1.0060774182568164,40,1,3,3.5,1.204836611206245,1.1088539404788287,0.9170606078661289,0.9848918915927022,0.8993735026652188,0.9214479557317751,6.0,5.0,2.0,4.0,1.0,3.0
c0x09,s12,other scenario,1.0001926091915205,10,1,3,3.5,1.005369070450089,0.9628277997396599,1.011472072814314,1.0258497273462581,1.0036594437651556,0.9919775410336465,4.0,1.0,5.0,6.0,3.0,2.0
c0x09,s13,other scenario,1.0121966369246327,15,1,3,3.5,1.0895833172778997,0.8863391286815989,0.8808953331851186,0.991351822360845,1.3403931562178026,0.8846170638245319,5.0,3.0,1.0,4.0,6.0,2.0
c0x09,s14,other scenario,1.0046746116153114,80,1,3,3.5,1.1883233326440623,0.9887380107173244,1.0785598814425332,0.9238328715571802,0.9365567186796034,0.9120368546511644,6.0,4.0,5.0,2.0,3.0,1.0
c0x09,s15,other scenario,1.0050834271767184,40,1,3,3.5,1.1811648498357419,1.1042542427969257,0.9622361945869166,0.9729112473670682,0.9048901458199621,0.9050438826536956,6.0,5.0,3.0,4.0,1.0,2.0
c0x09,s16,other scenario,1.0005749151450167,80,1,3,3.5,1.0520800881781898,1.0303015037068401,0.9842426539588153,1.010538466733261,0.973483947845809,0.9528028304471856,6.0,5.0,3.0,4.0,2.0,1.0
c0x09,s17,other scenario,1.0003317481895904,10,1,3,3.5,1.0149071551202933,0.9709400968165806,0.9736742043206291,1.040250492189974,1.0186476341461927,0.9835709065438728,4.0,1.0,2.0,6.0,5.0,3.0
c0x09,s18,other scenario,1.002249859890613,80,1,3,3.5,1.1304155057956597,0.9660327101471519,0.9622083111572304,1.0037932477659943,1.0350467616222518,0.9160026228553904,6.0,3.0,2.0,4.0,5.0,1.0
c0x09,s19,completion scenario,1.0055709961907495,10,1,3,3.5,1.150581536597737,0.8281621360043696,0.9356663449417916,0.9928366416804468,1.0842048227903887,1.0419744951297631,6.0,1.0,2.0,3.0,5.0,4.0
